scenario,block_idx,n_seeds_in_block,block_mean_RE_delay_pct,block_std_RE_delay_pct
"S1 (nominal, kappa=1.0)",0,10,3.18764648138349,1.0893416898127237
"S1 (nominal, kappa=1.0)",1,10,3.315752130506577,0.5106683682244878
"S1 (nominal, kappa=1.0)",2,10,3.154452128585121,0.7321033278137496
"S1 (nominal, kappa=1.0)",3,10,3.510310519926489,0.9388014593322681
"S1 (nominal, kappa=1.0)",4,10,3.288078263776485,0.7581889255518488
"S1 (nominal, kappa=1.0)",5,10,3.4061635493797278,1.0294629248565021
"S1 (nominal, kappa=1.0)",6,10,2.935481681147066,1.1429233506365746
"S1 (nominal, kappa=1.0)",7,10,3.0940102296256726,0.7154167323128277
"S1 (nominal, kappa=1.0)",8,10,3.368519188869077,0.8994094497010316
"S1 (nominal, kappa=1.0)",9,10,3.6680896158397083,1.0089389462405323
"S1 (nominal, kappa=1.0)",10,10,2.942177835058642,0.9245834792002798
"S1 (nominal, kappa=1.0)",11,10,3.2886314058010093,0.8511776995473356
"S1 (nominal, kappa=1.0)",12,10,3.046419960060832,0.8324931328459969
"S1 (nominal, kappa=1.0)",13,10,3.166866996002402,0.8811217925666991
"S1 (nominal, kappa=1.0)",14,10,3.3874174203292924,1.051149482824163
"S1 (nominal, kappa=1.0)",15,10,3.5190627441338718,0.803091901398614
"S1 (nominal, kappa=1.0)",16,10,2.9928886863703594,0.9058985433155561
"S1 (nominal, kappa=1.0)",17,10,2.98632119542052,1.0269178412505224
"S1 (nominal, kappa=1.0)",18,10,3.180549116226188,0.5077956765660625
"S1 (nominal, kappa=1.0)",19,10,3.0144641115555078,0.6332290314014057
"S1 (nominal, kappa=1.0)",20,10,3.4759622428130603,1.0431632095238137
"S1 (nominal, kappa=1.0)",21,10,3.2510614771059627,0.8728459619427965
"S1 (nominal, kappa=1.0)",22,10,3.1059342171512254,0.9505324035594119
"S1 (nominal, kappa=1.0)",23,10,3.350200235877792,0.7117769343801441
"S1 (nominal, kappa=1.0)",24,10,3.499109355981787,0.804607572790118
"S1 (nominal, kappa=1.0)",25,10,3.184056414080528,0.5860610494647402
"S1 (nominal, kappa=1.0)",26,10,3.304158505562048,0.7499398483480572
