scenario,n_seeds,RE_delay_mean_pct,RE_delay_max_pct,rolling_mean_last3
"S4 (disaster surge, kappa=1.6)",200,3.572598371073042,5.604621071585023,
"S4 (disaster surge, kappa=1.6)",210,3.5867033351750965,5.647184726323112,
"S4 (disaster surge, kappa=1.6)",220,3.593325436792805,5.711268961224354,3.5842090476803143
"S4 (disaster surge, kappa=1.6)",230,3.609835685813824,5.692129572959079,3.596621485927242
"S4 (disaster surge, kappa=1.6)",240,3.6235463852333916,5.653290553828002,3.60890250261334
"S4 (disaster surge, kappa=1.6)",250,3.6449112586945955,5.62445439224257,3.626097776580604
"S4 (disaster surge, kappa=1.6)",260,3.640015127078467,5.636980824583852,3.636157590335485
"S4 (disaster surge, kappa=1.6)",270,3.65058501659207,5.656195952859607,3.6451704674550442
"S4 (disaster surge, kappa=1.6)",280,3.6686714209541074,5.673431348593586,3.6530905215415483
"S4 (disaster surge, kappa=1.6)",290,3.6630897434664162,5.7002076268711175,3.6607820603375316
"S4 (disaster surge, kappa=1.6)",300,3.646306615020628,5.710613773719746,3.6593559264803837
"S4 (disaster surge, kappa=1.6)",310,3.6509845536496095,5.717795212951702,3.653460304045551
"S4 (disaster surge, kappa=1.6)",320,3.6596770530617846,5.662226636104615,3.652322740577341
"S4 (disaster surge, kappa=1.6)",330,3.666867538687994,5.719272467870989,3.659176381799796
"S4 (disaster surge, kappa=1.6)",340,3.6623391874951667,5.715883737387977,3.662961259748315
"S4 (disaster surge, kappa=1.6)",350,3.6647604926736683,5.73974106031505,3.664655739618943
"S4 (disaster surge, kappa=1.6)",360,3.6636559028485878,5.756083535260339,3.663585194339141
"S4 (disaster surge, kappa=1.6)",370,3.659147661230904,5.740594765167689,3.6625213522510536
"S4 (disaster surge, kappa=1.6)",380,3.664051965030733,5.72418356059287,3.662285176370075
"S4 (disaster surge, kappa=1.6)",390,3.6638710823243748,5.736703353869275,3.662356902862004
