bar_gamma_UH,T1_E2E_s,T2_E2E_s,T3_E2E_s,rho_U,rho_H,D_rho
2.0,0.6983534006621661,1.111615080711028,6.0471384743391745,0.8833503861199113,0.1802025018388388,0.7031478842810726
3.0,0.4669193335647266,0.726091356101427,1.765688991066467,0.68121845696371,0.1802025018388388,0.5010159551248712
4.0,0.36109957276925075,0.5624697936792585,1.1587462233497259,0.5721993150125235,0.1802025018388388,0.39199681317368473
5.0,0.3014840833314381,0.47309173158090284,0.9167736253182858,0.5032170024662591,0.1802025018388388,0.3230145006274203
6.0,0.26354530876925375,0.41702034983207215,0.7860292936812608,0.45523358683800813,0.1802025018388388,0.27503108499916934
7.0,0.23738738300429874,0.37861323066261976,0.7037398710373542,0.41969464162128955,0.1802025018388388,0.23949213978245076
8.0,0.2182998914378977,0.350657082764105,0.6469304968198734,0.3921703211802325,0.1802025018388388,0.2119678193413937
9.0,0.20377098597920618,0.32938155659914603,0.6051962874123286,0.3701293384888159,0.1802025018388388,0.18992683664997712
10.0,0.1923449717903713,0.312630225711197,0.5731357263310217,0.35201635719536595,0.1802025018388388,0.17181385535652716
11.0,0.1831227015594411,0.29908291049841335,0.5476631165147586,0.33682079573459,0.1802025018388388,0.15661829389575121
12.0,0.17552005629986817,0.2878871452442626,0.5268858998941373,0.3238562320287616,0.1802025018388388,0.14365373018992283
13.0,0.16914170917124566,0.2784683386596992,0.5095777324808238,0.3126392738233416,0.1802025018388388,0.13243677198450282
14.0,0.16371087589207028,0.2704252734946541,0.4949083647940956,0.3028191430918549,0.1802025018388388,0.12261664125301613
15.0,0.15902815417816235,0.26346938207164855,0.48229522457223095,0.2941347721644224,0.1802025018388388,0.11393227032558362
16.0,0.15494634383141948,0.25738783310525126,0.4713171657526263,0.2863876111337903,0.1802025018388388,0.10618510929495151
17.0,0.15135446761582266,0.25202022095410065,0.4616619677429624,0.27942380443309434,0.1802025018388388,0.09922130259425554
18.0,0.14816730570320297,0.2472433556874472,0.45309310869722386,0.27312216515960713,0.1802025018388388,0.09291966332076834
19.0,0.14531835032054263,0.24296105345418684,0.4454280261249248,0.26738585381300106,0.1802025018388388,0.08718335197416227
20.0,0.1427549470170871,0.2390971110259833,0.4385234790553195,0.26213649109797893,0.1802025018388388,0.08193398925914014
21.0,0.14043487153746254,0.23559036426711305,0.43226544181705684,0.25730991003567766,0.1802025018388388,0.07710740819683887
22.0,0.13832387172643035,0.23239114391173138,0.4265619708540349,0.2528530366034044,0.1802025018388388,0.07265053476456562
23.0,0.13639387196205716,0.2294586887276615,0.4213380704062887,0.2487215626646558,0.1802025018388388,0.06851906082581702
24.0,0.13462164114492498,0.2267592274966127,0.41653193168989777,0.24487818504081366,0.1802025018388388,0.06467568320197487
25.0,0.1329877906359504,0.22426453647284095,0.41209213445683557,0.24129125564348985,0.1802025018388388,0.061088753804651064
26.0,0.1314760107318666,0.221950840284185,0.40797553483005156,0.23793373443589527,0.1802025018388388,0.05773123259705648
27.0,0.13007248206252747,0.21979796452265649,0.40414565037600636,0.2347823684694414,0.1802025018388388,0.0545798666306026
28.0,0.128765416942778,0.21778867524478054,0.400571410705707,0.23181704176204027,0.1802025018388388,0.051614539923201475
29.0,0.12754469843591282,0.21590815897526516,0.397226180364421,0.2290202557330931,0.1802025018388388,0.0488177538942543
30.0,0.12640159370308413,0.21414360952181216,0.3940869870338011,0.22637671044675278,0.1802025018388388,0.04617420860791399
31.0,0.12532852441079062,0.21248389683562338,0.3911339062868598,0.22387296444275356,0.1802025018388388,0.04367046260391477
32.0,0.12431888138291021,0.21091929950429442,0.3883495669569199,0.22149715637974576,0.1802025018388388,0.04129465454090697
33.0,0.12336687386654321,0.20944128704041332,0.38571875032682446,0.2192387757014576,0.1802025018388388,0.03903627386261882
34.0,0.12246740610208734,0.20804234146490447,0.3832280629497681,0.2170884724843616,0.1802025018388388,0.03688597064552282
35.0,0.12161597559881607,0.2067158101417666,0.3808656677391037,0.2150378988287599,0.1802025018388388,0.03483539698992111
36.0,0.12080858879084082,0.20545578364981645,0.3786210615287493,0.21307957581721523,0.1802025018388388,0.03287707397837644
37.0,0.12004169070532118,0.20425699385107016,0.37648488996484675,0.21120678132912188,0.1802025018388388,0.031004279490283088
38.0,0.11931210600017453,0.20311472835679545,0.37444879259175673,0.20941345497084116,0.1802025018388388,0.029210953132002365
39.0,0.11861698928291915,0.20202475838816852,0.37250527251681165,0.20769411713150832,0.1802025018388388,0.027491615292669525
40.0,0.11795378304927472,0.20098327764152524,0.37064758620370475,0.20604379975948453,0.1802025018388388,0.02584129792064574
41.0,0.1173201819114318,0.1999868502439175,0.3688696498442056,0.20445798691327946,0.1802025018388388,0.02425548507444067
42.0,0.11671410204472434,0.19903236625642529,0.36716595945774655,0.20293256350313477,0.1802025018388388,0.022730061664295975
43.0,0.11613365498497864,0.1981170034750931,0.3655315224165636,0.20146377092741913,0.1802025018388388,0.021261269088580337
44.0,0.1155771250698752,0.19723819451082297,0.3639617985262049,0.2000481685381647,0.1802025018388388,0.019845666699325915
45.0,0.11504294994586736,0.1963935983138731,0.36245264913404773,0.1986826000551186,0.1802025018388388,0.0184800982162798
46.0,0.11452970366482963,0.19558107545621012,0.3610002930120383,0.19736416419722194,0.1802025018388388,0.01716166235838315
47.0,0.11403608197720377,0.19479866660380563,0.35960126797942776,0.1960901889219052,0.1802025018388388,0.0158876870830664
48.0,0.11356088949522314,0.19404457370714198,0.3582523974084221,0.19485820876174398,0.1802025018388388,0.014655706922905187
49.0,0.11310302845410414,0.19331714351640972,0.3569507608993206,0.1936659448293257,0.1802025018388388,0.013463442990486907
50.0,0.1126614888434462,0.19261485309178727,0.35569366852879003,0.1925112871281528,0.1802025018388388,0.012308785289314006
51.0,0.11223533971746318,0.19193629703164827,0.35447863817076497,0.19139227886280707,0.1802025018388388,0.011189777023968284
52.0,0.11182372152264057,0.191280176184776,0.3533033754682893,0.19030710248760818,0.1802025018388388,0.01010460064876939
53.0,0.11142583930620506,0.19064528764844965,0.3521657560997042,0.18925406727136143,0.1802025018388388,0.00905156543252264
54.0,0.11104095668938051,0.190030515884001,0.3510638100365694,0.18823159818789476,0.1802025018388388,0.008029096349055964
55.0,0.11066839050656588,0.18943482480623994,0.3499957075356389,0.18723822596904854,0.1802025018388388,0.007035724130209753
56.0,0.11030750602592682,0.1888572507239077,0.3489597466447589,0.18627257817950277,0.1802025018388388,0.006070076340663977
57.0,0.10995771267894527,0.1882968960257554,0.34795434203404396,0.18533337119204654,0.1802025018388388,0.005130869353207751
58.0,0.10961846023662265,0.18775292352154388,0.3469780149901861,0.18441940295818712,0.1802025018388388,0.004216901119348332
59.0,0.10928923537861027,0.18722455135968863,0.3460293844341179,0.1835295464828685,0.1802025018388388,0.0033270446440297197
60.0,0.10896955860881269,0.18671104845381672,0.3451071588412057,0.1826627439239021,0.1802025018388388,0.002460242085063319
61.0,0.10865898147719068,0.18621173035946897,0.34421012895924374,0.181818001246841,0.1802025018388388,0.0016154994080022078
62.0,0.1083570840727619,0.1857259555498343,0.3433371612332401,0.18099438337471874,0.1802025018388388,0.0007918815358799458
63.0,0.10806347275730449,0.18525312204594974,0.34248719185771176,0.18019100977955652,0.1802025018388388,-1.1492059282275369e-05
64.0,0.10777777811313154,0.1847926643624152,0.34165922138724925,0.17940705046898814,0.1802025018388388,-0.0007954513698506527
65.0,0.10749965308162696,0.18434405073450533,0.3408523098447483,0.17864172232693676,0.1802025018388388,-0.001560779511902033
66.0,0.1072287712720938,0.18390678059672408,0.34006557227413964,0.17789428577210942,0.1802025018388388,-0.002308216066729374
67.0,0.10696482542293981,0.18348038228645264,0.3392981746908744,0.17716404170228073,0.1802025018388388,-0.0030384601365580632
68.0,0.10670752599936353,0.18306441094945664,0.33854933038897805,0.17645032869599309,0.1802025018388388,-0.003752173142845705
69.0,0.10645659991356478,0.18265844662673356,0.3378182965683157,0.17575252044649714,0.1802025018388388,-0.004449981392341651
70.0,0.10621178935511644,0.18226209250453607,0.33710437124990467,0.17507002340554895,0.1802025018388388,-0.005132478433289844
71.0,0.10597285072054485,0.1818749733114659,0.33640689045076727,0.17440227461712468,0.1802025018388388,-0.00580022722171411
72.0,0.10573955363239529,0.18149673384833093,0.3357252255930133,0.17374873972326782,0.1802025018388388,-0.006453762115570971
73.0,0.10551168003913597,0.1811270376380324,0.33505878112463616,0.17310891112617052,0.1802025018388388,-0.0070935907126682685
74.0,0.10528902338819875,0.18076556568413213,0.3344069923319591,0.1724823062922605,0.1802025018388388,-0.007720195546578296
75.0,0.10507138786528311,0.18041201532796372,0.3337693233258228,0.17186846618553364,0.1802025018388388,-0.00833403565330515
76.0,0.10485858769378187,0.1800660991952228,0.3331452651855028,0.17126695381867751,0.1802025018388388,-0.008935548020161277
77.0,0.10465044648882962,0.17972754422391568,0.33253433424601736,0.1706773529116824,0.1802025018388388,-0.00952514892715639
78.0,0.10444679666104487,0.1793960907663807,0.3319360705159661,0.17009926664866074,0.1802025018388388,-0.010103235190178056
79.0,0.10424747886553913,0.17907149175883552,0.331350036214346,0.1695323165245069,0.1802025018388388,-0.010670185314331893
80.0,0.10405234149221401,0.17875351195256006,0.3307758144159545,0.1689761412738394,0.1802025018388388,-0.0112263605649994
81.0,0.1038612401937618,0.17844192720140703,0.3302130077960154,0.16843039587539044,0.1802025018388388,-0.011772105963448354
82.0,0.10367403744813825,0.17813652380084977,0.32966123746558307,0.1678947506256532,0.1802025018388388,-0.012307751213185586
83.0,0.10349060215259011,0.17783709787424035,0.3291201418900955,0.16736889027617557,0.1802025018388388,-0.012833611562663216
84.0,0.10331080924659891,0.17754345480236183,0.32858937588417303,0.166852513229405,0.1802025018388388,-0.013349988609433788
85.0,0.10313453936135321,0.17725540869272782,0.32806860967641377,0.1663453307884546,0.1802025018388388,-0.013857171050384198
86.0,0.10296167849358451,0.176972781885412,0.32755752803851546,0.16584706645657585,0.1802025018388388,-0.014355435382262943
87.0,0.10279211770180283,0.17669540449248627,0.32705582947357736,0.16535745528249995,0.1802025018388388,-0.014845046556338837
