kappa,policy,feasible,alpha,B_UH_MHz,a1,a2,a3,T1_E2E_s,T2_E2E_s,T3_E2E_s,rho_U,rho_H,CSPR,GDI,AGDI,PAoI1_s,PAoI2_s,PAoI3_s,AoI_avg1_sim_s,n_seeds_valid
1.0,P1,True,0.5,1.0,1.0,1.0,1.0,0.1923449717903713,0.312630225711197,0.5731357263310217,0.35201635719536595,0.1802025018388388,1.0,1.0,1.0,2.692344971790371,1.9792968923778638,1.8231357263310217,2.7012402678076888,1000
1.0,P2,True,0.35,1.0,1.0,1.0,1.0,0.15033013580314808,0.24915034541587422,0.4548585966506531,0.27078181322720457,0.1802025018388388,1.0,1.0,1.0,2.650330135803148,1.9158170120825408,1.704858596650653,2.6601924290652357,1000
1.0,P3,True,0.35,1.0,1.0,1.0,1.0,0.15033013580314808,0.24915034541587422,0.4548585966506531,0.27078181322720457,0.1802025018388388,1.0,1.0,1.0,2.650330135803148,1.9158170120825408,1.704858596650653,2.6601924290652357,1000
1.5,P1,True,0.5,1.0,1.0,1.0,1.0,0.23471584805888734,0.36847530603227663,0.717196342556931,0.528024535793049,0.2703037527582582,1.0,0.8984241126667675,1.8104012453902456,1.9013825147255539,1.4795864171433877,1.5505296758902642,1.9110947964544311,1000
1.5,P2,True,0.35,1.0,1.0,1.0,1.0,0.1793815594530092,0.28491927895440783,0.5238068522030368,0.40617271984080683,0.2703037527582582,1.0,0.9409796370885453,1.855180625006393,1.8460482261196758,1.396030390065519,1.35714018553637,1.8574264058144747,1000
1.5,P3,True,0.35,1.0,1.0,1.0,1.0,0.1793815594530092,0.28491927895440783,0.5238068522030368,0.40617271984080683,0.2703037527582582,1.0,0.9409796370885453,1.855180625006393,1.8460482261196758,1.396030390065519,1.35714018553637,1.8574264058144747,1000
2.0,P1,True,0.5,1.0,1.0,1.0,1.0,0.27824171352083005,0.4333162961196375,1.0371740950131902,0.7040327143907319,0.3604050036776776,1.0,0.7723583644254274,1.8613174825869239,1.52824171352083,1.2666496294529708,1.6621740950131902,1.539643845150533,1000
2.0,P2,True,0.35,1.2,1.0,1.0,1.0,0.2103238062194051,0.32484660326563775,0.6158049109719289,0.4513030220453409,0.4505062545970969,1.0,0.8754171750626187,2.116742757944843,1.460323806219405,1.1581799365989711,1.2408049109719288,1.4765191545370406,1000
2.0,P3,True,0.35,1.2,1.0,1.0,1.0,0.2103238062194051,0.32484660326563775,0.6158049109719289,0.4513030220453409,0.4505062545970969,1.0,0.8754171750626187,2.116742757944843,1.460323806219405,1.1581799365989711,1.2408049109719288,1.4765191545370406,1000
2.5,P1,True,0.5,1.0,1.0,1.0,1.0,0.32297347950149974,0.5093181262107435,2.294017292021191,0.8800408929884148,0.4505062545970969,1.0,0.5448194113660865,1.4130863665606233,1.3229734795014998,1.17598479287741,2.794017292021191,1.3390632994703082,1000
2.5,P2,True,0.35,1.2,1.0,1.0,1.0,0.2408539497415651,0.3687749906501576,0.7707781628782987,0.5641287775566761,0.5631328182463711,1.0,0.8023984297265818,2.1178116417672332,1.2408539497415652,1.0354416573168241,1.2707781628782988,1.2574717228891388,1000
2.5,P3,True,0.35,1.2,1.0,1.0,1.0,0.2408539497415651,0.3687749906501576,0.7707781628782987,0.5641287775566761,0.5631328182463711,1.0,0.8023984297265818,2.1178116417672332,1.2408539497415652,1.0354416573168241,1.2707781628782988,1.2574717228891388,1000
2.6,P1,True,0.5,1.0,1.0,1.0,1.0,0.3320692399187974,0.5260985313352841,3.1683195867912706,0.9152425287079514,0.46852650478098085,1.0,0.5026530041228475,1.3545339566303998,1.293607701457259,1.167124172360925,3.6490888175605014,1.31061522288775,1000
2.6,P2,True,0.35,1.2,1.0,1.0,1.0,0.24703233533217098,0.37814287383368317,0.8130002780524157,0.5866939286589432,0.5856581309762259,1.0,0.7863750245328502,2.096716718399595,1.2085707968706325,1.0191685148593241,1.2937695088216463,1.2250261861847584,1000
2.6,P3,True,0.35,1.2,1.0,1.0,1.0,0.24703233533217098,0.37814287383368317,0.8130002780524157,0.5866939286589432,0.5856581309762259,1.0,0.7863750245328502,2.096716718399595,1.2085707968706325,1.0191685148593241,1.2937695088216463,1.2250261861847584,1000
2.7,P1,True,0.5,1.0,1.0,1.0,1.0,0.34121583621909124,0.5434669767938046,5.280969367930295,0.950444164427488,0.48654675496486466,1.0,0.48051636692198463,1.3111327362827232,1.267141762145017,1.1607509274110885,5.743932330893258,1.2852653276869788,1000
2.7,P2,True,0.35,1.2,1.0,1.0,1.0,0.2532351739916896,0.3877180507554369,0.8604994825153534,0.6092590797612103,0.6081834437060808,1.0,0.7697324414796171,2.0694090087273342,1.1791610999176154,1.0050020013727208,1.3234624454783162,1.1951713390757126,1000
2.7,P3,True,0.35,1.2,1.0,1.0,1.0,0.2532351739916896,0.3877180507554369,0.8604994825153534,0.6092590797612103,0.6081834437060808,1.0,0.7697324414796171,2.0694090087273342,1.1791610999176154,1.0050020013727208,1.3234624454783162,1.1951713390757126,1000
2.8,P1,True,0.5,1.0,1.0,1.0,1.0,0.35041372222914025,0.5614533624813784,17.73893048408134,0.9856458001470245,0.5045670051487485,1.0,0.4579324737080941,1.263354935369962,1.2432708650862832,1.1566914577194738,18.185359055509913,1.2630001544639808,1000
2.8,P2,True,0.35,1.2,1.0,1.0,1.0,0.25946261118014347,0.3975066237303575,0.9142559502316179,0.6318242308634772,0.6307087564359355,1.0,0.7523788498216107,2.036041334784034,1.1523197540372863,0.9927447189684527,1.3606845216601893,1.1685856632294545,1000
