kappa,policy,feasible,PAoI1_s,AoI_avg1_sim_s,AGDI,CSPR,a3,surrogate_conservative
1.0,P1,True,2.692344971790371,2.7012402678076888,1.0,1.0,1.0,False
1.0,P3,True,2.650330135803148,2.6601924290652357,1.0,1.0,1.0,False
1.5,P1,True,1.9013825147255539,1.9110947964544311,1.8104012453902456,1.0,1.0,False
1.5,P3,True,1.8460482261196758,1.8574264058144747,1.855180625006393,1.0,1.0,False
2.0,P1,True,1.52824171352083,1.5396438451505328,1.8613174825869239,1.0,1.0,False
2.0,P3,True,1.460323806219405,1.4765191545370404,2.116742757944843,1.0,1.0,False
2.5,P1,True,1.3229734795014998,1.339063299470308,1.4130863665606233,1.0,1.0,False
2.5,P3,True,1.2408539497415652,1.2574717228891386,2.1178116417672332,1.0,1.0,False
2.6,P1,True,1.293607701457259,1.31061522288775,1.3545339566303998,1.0,1.0,False
2.6,P3,True,1.2085707968706325,1.2250261861847584,2.096716718399595,1.0,1.0,False
2.7,P1,True,1.267141762145017,1.2852653276869788,1.3111327362827232,1.0,1.0,False
2.7,P3,True,1.1791610999176154,1.1951713390757126,2.0694090087273342,1.0,1.0,False
2.8,P1,True,1.2432708650862832,1.26300015446398,1.263354935369962,1.0,1.0,False
2.8,P3,True,1.1523197540372863,1.1685856632294545,2.036041334784034,1.0,1.0,False
2.9,P1,False,,,,,,False
2.9,P3,True,1.1277837590307893,1.1439197395233263,1.9966715593498392,1.0,1.0,False
3.0,P1,False,,,,,,False
3.0,P3,True,1.1053252021087498,1.120859965341562,1.9512707912524216,1.0,1.0,False
3.2,P1,False,,,,,,False
3.2,P3,True,1.0658712951261027,1.0806334116107246,1.8419048625912908,1.0,1.0,False
3.4,P1,False,,,,,,False
3.4,P3,True,1.0326462139433368,1.046377687570749,1.706779282434026,1.0,1.0,False
3.6,P1,False,,,,,,False
3.6,P3,True,1.004629942234367,1.0166681620079792,1.5471761340252064,1.0,1.0,False
3.7,P1,False,,,,,,False
3.7,P3,True,0.9923167377158981,1.0035264744260308,1.4623998038260368,1.0,1.0,False
3.8,P1,False,,,,,,False
3.8,P3,True,0.9810174817862887,0.9911638596835752,1.383141000726818,1.0,1.0,False
3.9,P1,False,,,,,,False
3.9,P3,True,0.922309220407397,0.9350974139571268,1.8433520601900382,1.0,0.75,False
4.0,P1,False,,,,,,False
4.0,P3,True,0.9114775880470308,0.9236608826522613,1.78965373710184,1.0,0.75,False
4.1,P1,False,,,,,,False
4.1,P3,True,0.9014488370957282,0.9131967469881496,1.7323133630808043,1.0,0.75,False
4.2,P1,False,,,,,,False
4.2,P3,True,0.8921672584429345,0.9034136227330978,1.6715764376498712,1.0,0.75,False
4.3,P1,False,,,,,,False
4.3,P3,True,0.8835823383118739,0.8940909739344539,1.6080821992394443,1.0,0.75,False
4.4,P1,False,,,,,,False
4.4,P3,True,0.8756481680117041,0.8857900287727234,1.5432821242954562,1.0,0.75,False
4.5,P1,False,,,,,,False
4.5,P3,True,0.8683229323909596,0.8779408362158971,1.480326868341114,1.0,0.75,False
4.6,P1,False,,,,,,False
4.6,P3,True,0.8615684650160252,0.8700718433524052,1.4330746297113575,1.0,0.75,False
4.7,P1,False,,,,,,False
4.7,P3,True,0.7961249568587091,0.8061972805998674,1.9503747711132646,1.0,0.5,False
4.8,P1,False,,,,,,False
